codibge,municipio,mesorregiao,estado
1200138,Bujari,Vale do Acre,Acre
1200807,Porto Acre,Vale do Acre,Acre
1200385,Plácido de Castro,Vale do Acre,Acre
1200302,Feijó,Vale do Juruá,Acre
1200500,Sena Madureira,Vale do Acre,Acre
1200427,Rodrigues Alves,Vale do Juruá,Acre
1200328,Jordão,Vale do Juruá,Acre
2701209,Cacimbinhas,Agreste Alagoano,Alagoas
2703007,Ibateguara,Leste Alagoano,Alagoas
2708956,Senador Rui Palmeira,Sertão Alagoano,Alagoas
2706448,Paripueira,Leste Alagoano,Alagoas
2702603,Feira Grande,Agreste Alagoano,Alagoas
2703106,Igaci,Agreste Alagoano,Alagoas
2706422,Pariconha,Sertão Alagoano,Alagoas
2702900,Girau do Ponciano,Agreste Alagoano,Alagoas
2707800,Roteiro,Leste Alagoano,Alagoas
2708204,São Brás,Agreste Alagoano,Alagoas
2707909,Santa Luzia do Norte,Leste Alagoano,Alagoas
2708600,São Miguel dos Campos,Leste Alagoano,Alagoas
2707206,Poço das Trincheiras,Sertão Alagoano,Alagoas
2703601,Japaratinga,Leste Alagoano,Alagoas
2701506,Campo Grande,Agreste Alagoano,Alagoas
2702355,Craíbas,Agreste Alagoano,Alagoas
2705408,Monteirópolis,Sertão Alagoano,Alagoas
2706109,Ouro Branco,Sertão Alagoano,Alagoas
2701357,Campestre,Leste Alagoano,Alagoas
2709400,Viçosa,Leste Alagoano,Alagoas
2702009,Coité do Nóia,Agreste Alagoano,Alagoas
2701605,Canapi,Sertão Alagoano,Alagoas
1600055,Serra do Navio,Sul do Amapá,Amapá
1300607,Benjamin Constant,Sudoeste Amazonense,Amazonas
1303601,Santa Isabel do Rio Negro,Norte Amazonense,Amazonas
1300086,Anamã,Centro Amazonense,Amazonas
1300300,Autazes,Centro Amazonense,Amazonas
1302900,Maués,Centro Amazonense,Amazonas
1301654,Guajará,Sudoeste Amazonense,Amazonas
1304302,Urucará,Centro Amazonense,Amazonas
1300102,Anori,Centro Amazonense,Amazonas
2923001,Nova Viçosa,Sul Baiano,Bahia
2918456,Jucuruçu,Sul Baiano,Bahia
2918704,Lafaiete Coutinho,Centro Sul Baiano,Bahia
2921807,Mortugaba,Centro Sul Baiano,Bahia
2920809,Marcionílio Souza,Centro Sul Baiano,Bahia
2921609,Morpará,Vale São-Franciscano da Bahia,Bahia
2903235,Barro Alto,Centro Norte Baiano,Bahia
2921500,Monte Santo,Nordeste Baiano,Bahia
2921104,Medeiros Neto,Sul Baiano,Bahia
2921054,Matina,Centro Sul Baiano,Bahia
2919959,Maetinga,Centro Sul Baiano,Bahia
2919553,Luís Eduardo Magalhães,Extremo Oeste Baiano,Bahia
2919801,Macaúbas,Centro Sul Baiano,Bahia
2919900,Macururé,Vale São-Franciscano da Bahia,Bahia
2922409,Mutuípe,Centro Sul Baiano,Bahia
2910701,Euclides da Cunha,Nordeste Baiano,Bahia
2911907,Iaçu,Centro Norte Baiano,Bahia
2911659,Guajeru,Centro Sul Baiano,Bahia
2911709,Guanambi,Centro Sul Baiano,Bahia
2911402,Glória,Vale São-Franciscano da Bahia,Bahia
2906006,Campo Formoso,Centro Norte Baiano,Bahia
2907608,Central,Centro Norte Baiano,Bahia
2907103,Carinhanha,Vale São-Franciscano da Bahia,Bahia
2907004,Cardeal da Silva,Nordeste Baiano,Bahia
2906824,Canudos,Nordeste Baiano,Bahia
2908903,Coração de Maria,Centro Norte Baiano,Bahia
2909307,Correntina,Extremo Oeste Baiano,Bahia
2906402,Candeal,Nordeste Baiano,Bahia
2908606,Conde,Nordeste Baiano,Bahia
2916856,Itatim,Centro Norte Baiano,Bahia
2915700,Itamari,Sul Baiano,Bahia
2917805,Jaguaripe,Metropolitana de Salvador,Bahia
2903904,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,Bahia
2916906,Itiruçu,Centro Sul Baiano,Bahia
2913309,Ichu,Nordeste Baiano,Bahia
2913002,Ibitiara,Centro Sul Baiano,Bahia
2904803,Caatiba,Centro Sul Baiano,Bahia
2912103,Ibicaraí,Sul Baiano,Bahia
2914901,Itacaré,Sul Baiano,Bahia
2913705,Inhambupe,Nordeste Baiano,Bahia
2914208,Irajuba,Centro Sul Baiano,Bahia
2904506,Brotas de Macaúbas,Centro Sul Baiano,Bahia
2904605,Brumado,Centro Sul Baiano,Bahia
2924702,Piripá,Centro Sul Baiano,Bahia
2931608,Teolândia,Sul Baiano,Bahia
2924405,Pilão Arcado,Vale São-Franciscano da Bahia,Bahia
2924207,Pedro Alexandre,Nordeste Baiano,Bahia
2924652,Pintadas,Centro Norte Baiano,Bahia
2927804,Santa Cruz da Vitória,Sul Baiano,Bahia
2930766,Sítio do Quinto,Nordeste Baiano,Bahia
2926004,Remanso,Vale São-Franciscano da Bahia,Bahia
2902054,Araçás,Nordeste Baiano,Bahia
2926509,Ribeira do Amparo,Nordeste Baiano,Bahia
2930303,Serra Dourada,Extremo Oeste Baiano,Bahia
2901957,Apuarema,Centro Sul Baiano,Bahia
2930154,Serra do Ramalho,Vale São-Franciscano da Bahia,Bahia
2925501,Prado,Sul Baiano,Bahia
2900355,Adustina,Nordeste Baiano,Bahia
2930204,Sento Sé,Vale São-Franciscano da Bahia,Bahia
2930105,Senhor do Bonfim,Centro Norte Baiano,Bahia
2930600,Serrolândia,Centro Norte Baiano,Bahia
2928802,Santo Estêvão,Centro Norte Baiano,Bahia
2902401,Aurelino Leal,Sul Baiano,Bahia
2900801,Alcobaça,Sul Baiano,Bahia
2901155,América Dourada,Centro Norte Baiano,Bahia
2928604,Santo Amaro,Metropolitana de Salvador,Bahia
2929404,São Miguel das Matas,Centro Sul Baiano,Bahia
2931350,Teixeira de Freitas,Sul Baiano,Bahia
