date,escopo_autuacao,uf,quantidade_autos
01-JAN-2021,CMT - Capacidade Máxima de Tração,MG,2
01-JAN-2021,CMT - Capacidade Máxima de Tração,RJ,3
01-JAN-2021,CMT - Capacidade Máxima de Tração,MS,1
01-JAN-2021,CMT - Capacidade Máxima de Tração,RJ,5
01-JAN-2021,Evasão de Balança,RJ,6330
01-JAN-2021,Excesso de Peso,MG,809
01-JAN-2021,Excesso de Peso,MS,7
01-JAN-2021,Excesso de Peso,MS,41
01-JAN-2021,Excesso de Peso,PR,364
01-JAN-2021,Excesso de Peso,RJ,435
01-JAN-2021,Excesso de Peso,RJ,2991
01-JAN-2021,Excesso de Peso,RS,10
01-FEV-2021,CMT - Capacidade Máxima de Tração,PR,1
01-FEV-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-FEV-2021,Excesso de Peso,ES,89
01-FEV-2021,Excesso de Peso,ES,106
01-FEV-2021,Excesso de Peso,PR,51
01-FEV-2021,Excesso de Peso,RJ,400
01-FEV-2021,Excesso de Peso,RS,17
01-MAR-2021,CMT - Capacidade Máxima de Tração,RJ,3
01-MAR-2021,Evasão de Balança,ES,631
01-MAR-2021,Excesso de Peso,MG,495
01-MAR-2021,Excesso de Peso,RJ,406
01-MAR-2021,Excesso de Peso,RJ,453
01-MAR-2021,Excesso de Peso,RS,418
01-MAR-2021,Excesso de Peso,SC,839
01-ABR-2021,CMT - Capacidade Máxima de Tração,MS,1
01-ABR-2021,Evasão de Balança,ES,385
01-ABR-2021,Evasão de Balança,RJ,4152
01-ABR-2021,Evasão de Balança,SP,531
01-ABR-2021,Excesso de Peso,ES,100
01-ABR-2021,Excesso de Peso,ES,930
01-ABR-2021,Excesso de Peso,GO,248
01-ABR-2021,Excesso de Peso,MS,6
01-ABR-2021,Excesso de Peso,MS,103
01-ABR-2021,Excesso de Peso,PR,750
01-ABR-2021,Excesso de Peso,RJ,353
01-ABR-2021,Excesso de Peso,RJ,469
01-ABR-2021,Excesso de Peso,SC,119
01-ABR-2021,Excesso de Peso,SP,65
01-MAI-2021,CMT - Capacidade Máxima de Tração,MG,5
01-MAI-2021,CMT - Capacidade Máxima de Tração,PR,1
01-MAI-2021,CMT - Capacidade Máxima de Tração,SC,1
01-MAI-2021,Excesso de Peso,BA,6
01-MAI-2021,Excesso de Peso,ES,157
01-MAI-2021,Excesso de Peso,ES,1170
01-MAI-2021,Excesso de Peso,GO,19
01-MAI-2021,Excesso de Peso,MG,1
01-MAI-2021,Excesso de Peso,MS,91
01-MAI-2021,Excesso de Peso,RJ,365
01-MAI-2021,Excesso de Peso,RJ,445
01-MAI-2021,Excesso de Peso,RJ,3110
01-MAI-2021,Excesso de Peso,RS,47
01-MAI-2021,Excesso de Peso,RS,72
01-MAI-2021,Excesso de Peso,RS,568
01-MAI-2021,Excesso de Peso,SC,119
01-MAI-2021,Excesso de Peso,SP,45
01-JUN-2021,CMT - Capacidade Máxima de Tração,ES,2
01-JUN-2021,Excesso de Peso,BA,1
01-JUN-2021,Excesso de Peso,ES,84
01-JUN-2021,Excesso de Peso,GO,5
01-JUN-2021,Excesso de Peso,GO,92
01-JUN-2021,Excesso de Peso,RJ,353
01-JUN-2021,Excesso de Peso,SC,165
01-JUN-2021,Excesso de Peso,SP,115
01-JUL-2021,CMT - Capacidade Máxima de Tração,PR,1
01-JAN-2021,Evasão de Balança,SP,422
01-JAN-2021,Excesso de Peso,ES,69
01-JAN-2021,Excesso de Peso,MG,57
01-JAN-2021,Excesso de Peso,PR,58
01-JAN-2021,Excesso de Peso,RS,17
01-JAN-2021,Excesso de Peso,RS,154
01-JAN-2021,Excesso de Peso,SC,113
01-JAN-2021,Excesso de Peso,SP,66
01-FEV-2021,CMT - Capacidade Máxima de Tração,SP,2
01-FEV-2021,Evasão de Balança,SP,395
01-FEV-2021,Excesso de Peso,MG,347
01-FEV-2021,Excesso de Peso,RS,339
01-FEV-2021,Excesso de Peso,SC,61
01-FEV-2021,Excesso de Peso,SC,154
01-FEV-2021,Excesso de Peso,SP,55
01-MAR-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-MAR-2021,CMT - Capacidade Máxima de Tração,RJ,2
